TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
10 & FAIXA;B2600208700000;26/06/2026;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;20,2;;2026;;OUTROS MERCADOS;NÃO;RCV MIDIAS DIGITAIS LTDA;19.647.763/0001-57;RJ;RIO DE JANEIRO
10.000 RPM;B2600012200000;14/01/2026;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;720;24;2025;2025;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;NIRVANA TECNOLOGIA DIGITAL LTDA;24.815.120/0001-05;SP;SÃO PAULO
10.000 RPM 2A. TEMPORADA;B2600180100000;01/06/2026;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;1300;52;2026;2026;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;NIRVANA TECNOLOGIA DIGITAL LTDA;24.815.120/0001-05;SP;SÃO PAULO
100 AMIGOS - 1ª TEMPORADA;B2600270500000;18/08/2026;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;288;12;2026;2026;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;UNIVERSO ONLINE S.A.;01.109.184/0001-95;SP;SÃO PAULO
12 MILHÕES DE TONELADAS;B2600217000000;07/07/2026;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;5,8;;2026;;OUTROS MERCADOS - AUDIOVISUAL EM CIRCUITO RESTRITO;NÃO;CIRCOLAB PRODUÇÕES CULTURAIS LTDA;21.250.807/0001-52;SP;SÃO PAULO
126;B2600059200000;24/02/2026;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;18,9;;2025;;SALAS DE EXIBIÇÃO;NÃO;ANA CAROLINA RESENDE LEITE;PESSOA FÍSICA;DF;BRASÍLIA
17 DE MARÇO;B2600080200000;17/03/2026;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;24,9;;2025;;OUTROS MERCADOS - AUDIOVISUAL EM CIRCUITO RESTRITO;NÃO;UNIVERSIDADE DE SÃO PAULO;63.025.530/0001-04;SP;SÃO PAULO
1988 - A CONSTITUIÇÃO DE UM SONHO;B2600256200000;04/08/2026;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;87,0;;2026;;SALAS DE EXIBIÇÃO;NÃO;ONA FILMS LTDA;20.824.498/0001-14;RJ;ITAPERUNA
2025;B2600075500000;12/03/2026;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;15,4;;2026;;SALAS DE EXIBIÇÃO;NÃO;DIA D PRODUCOES ARTISTICAS LTDA;04.149.018/0001-00;RJ;RIO DE JANEIRO
26 DE DEZEMBRO;B2600095100000;26/03/2026;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,5;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;BONDE RECORDS MUSIC LTDA;21.857.777/0001-47;RJ;RIO DE JANEIRO
3 PALAVRINHAS - VAMOS CANTAR JUNTOS!;B2600137500000;28/04/2026;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;208;3;2026;2026;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;ANIMASSAURO PRODUÇÕES LTDA;06.077.962/0001-25;MG;BELO HORIZONTE
3 PALAVRINHAS SHOW;B2600147500000;05/05/2026;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;286;13;2026;2026;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;ANIMASSAURO PRODUÇÕES LTDA;06.077.962/0001-25;MG;BELO HORIZONTE
30ª PARADA DO ORGULHO LGBT+ DE SÃO PAULO 2026 A RUA CONVOCA A URNA CONFIRMA.;B2600267100000;14/08/2026;DEFERIDO;JORNALÍSTICA;;COMUM;NÃO SERIADA;22,4;;2026;;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;ENCONTRO INFORMAL COMUNICACAO E SERVICOS LTDA;00.035.199/0001-93;SP;SÃO PAULO
31º PRÊMIO JOVEM CIENTISTA;B2600122500000;20/04/2026;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;14,9;4;2026;2026;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;FUNDAÇÃO ROBERTO MARINHO;29.527.413/0001-00;RJ;RIO DE JANEIRO
365 AO VIVO;B2600105500000;07/04/2026;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;44,2;;2026;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;GABRIELA RICCIARDI CASERTA;42.271.245/0001-01;SP;SÃO PAULO
3X CAMILO;B2600067900000;04/03/2026;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,6;;2026;;SALAS DE EXIBIÇÃO;NÃO;50.077.912 LIVIA MARCELA DA SILVA UCHOA;50.077.912/0001-30;RJ;NITERÓI
4 X JOÃO;B2600176300000;27/05/2026;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;17,9;;2026;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;TON TON FILMES & PRODUÇÃO ARTÍSTICA LTDA;10.403.803/0001-40;RJ;RIO DE JANEIRO
40º GRAUS;B2600030100000;03/02/2026;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;65,5;;2025;;SALAS DE EXIBIÇÃO;NÃO;AQUARELLA CINE LTDA;43.419.148/0001-78;RJ;RIO DE JANEIRO
60 SEGUNDOS -  RETRATOS DE PELOTAS;B2600143400000;04/05/2026;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;12;12;2026;2026;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;45.604.800 ALLAM MAGNO MELLO GONCALVES;45.604.800/0001-50;RS;PELOTAS
70 ANOS UMA SÓ FAMÍLIA;B2600212300000;01/07/2026;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;52;;2026;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;37.784.767 FELIPE SIMAO CABELLO;37.784.767/0001-69;SP;SÃO BERNARDO DO CAMPO
A ANTIFÁBULA DO PAPAI NOEL;B2600023600000;27/01/2026;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;23,7;;2026;;NENHUMA DAS OPÇÕES;NÃO;39.402.196 NATALIA FERREIRA CARUSO;39.402.196/0001-86;RJ;RIO DE JANEIRO
A ARANHA-MARROM;B2600120400000;17/04/2026;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;19,9;;2026;;OUTROS MERCADOS;NÃO;RAPHAEL DE JESUS;PESSOA FÍSICA;PR;CURITIBA
A ARTE DE MORRER OU MARTA DÍPTERO BRAQUÍCERO;B2600191900000;12/06/2026;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;14;;2026;;OUTROS MERCADOS;NÃO;NARRATIVA FILMES LTDA;20.820.497/0001-00;PB;JOÃO PESSOA
A ARTE DE SER;B2600037400000;09/02/2026;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;21,6;;2026;;OUTROS MERCADOS - AUDIOVISUAL EM CIRCUITO RESTRITO;NÃO;PEDRO AUGUSTO ALVES TEIXEIRA;PESSOA FÍSICA;RJ;BARRA DO PIRAÍ
A ARTE NA VOZ DE QUEM FAZ;B2600090800000;25/03/2026;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;63;7;2026;2026;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;INSTITUTO ARTE NA ESCOLA;03.684.257/0001-06;SP;SÃO PAULO
A BALADA PARA UM PEIXE ROUBADO;B2600064800000;02/03/2026;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;15;;2026;;NENHUMA DAS OPÇÕES;NÃO;SAMUEL GOMES CARVALHO;PESSOA FÍSICA;SP;UBATUBA
A BATALHA DA CRUZ;B2600084700000;19/03/2026;DEFERIDO;RELIGIOSA;;COMUM;SERIADA EM TEMPORADA ÚNICA;285;5;2026;2026;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;TELEVISAO CACHOEIRA DO SUL LTDA;89.784.037/0001-61;RS;CACHOEIRA DO SUL
A BAÍA QUE NOS CONECTA;B2600038600000;09/02/2026;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;39,4;4;2025;2025;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;MASH UP AGENCIA DE PUBLICIDADE COMUNICACAO E EVENTOS LTDA;05.166.886/0001-61;RJ;RIO DE JANEIRO
A BOLA;B2600121600000;17/04/2026;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;22;;2026;;SALAS DE EXIBIÇÃO;NÃO;PMF PRODUTORA LTDA;39.867.426/0001-82;SP;ATIBAIA
A CACHOEIRA;B2600262900000;07/08/2026;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;20;;2026;;SALAS DE EXIBIÇÃO;NÃO;COSMORAMA PRODUÇÕES LTDA;51.210.325/0001-30;BA;VITÓRIA DA CONQUISTA
A CASA CAIU, LÁ EM CASA;B2600151600000;07/05/2026;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,6;;2026;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;BEST PRODUCOES ARTISTICAS LTDA;24.809.258/0001-00;GO;FORMOSA
A CASA DA KENA;B2600191800000;12/06/2026;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;11,7;;2026;;SALAS DE EXIBIÇÃO;NÃO;ANDRILENE DE OLIVEIRA;PESSOA FÍSICA;SP;SÃO CARLOS
A CASA DE ANINHA;B2600219000000;09/07/2026;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;64,1;;2026;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;PAULA CRISTINA MANN LTDA;21.942.299/0001-73;SP;SÃO PAULO
A CIDADE;B2600189100000;10/06/2026;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,9;;2026;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;LAGUM PRODUCAO MUSICAL LTDA;31.133.282/0001-29;MG;BELO HORIZONTE
A COLMEIA DA AZIZA;B2600100400000;31/03/2026;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;14,5;;2026;;OUTROS MERCADOS;NÃO;VIU CINE COMUNICACAO LTDA;18.274.744/0001-60;PE;RECIFE
A CONSPIRAÇÃO CONDOR;B2600061700000;26/02/2026;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;113,5;;2026;;SALAS DE EXIBIÇÃO;NÃO;LEP LUGAR DE ENCONTROS E PRODUCOES LTDA;07.716.572/0001-10;SP;SÃO PAULO
A CONSTITUIÇÃO E A LIBERDADE;B2600100800000;31/03/2026;DEFERIDO;JORNALÍSTICA;;COMUM;SERIADA DE DURAÇÃO INDETERMINADA;1200;20;2026;2026;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;EDITORA TIPUANA LTDA.;19.608.677/0001-35;SP;SÃO PAULO
A CORTE OCULTA;B2600138400000;28/04/2026;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;11,6;;2026;;OUTROS MERCADOS - AUDIOVISUAL EM CIRCUITO RESTRITO;NÃO;ANDERSON COSME DE SOUZA;PESSOA FÍSICA;SP;ITAPECERICA DA SERRA
A COZINHA DO CHEF LUCA - 2ª TEMPORADA;B2600079200000;16/03/2026;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;35;14;2026;2026;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;GLM MARKETING SOLUÇÕES EMPRESARIAIS EIRELI;40.737.325/0001-76;SP;SÃO PAULO
A DAMA DO RAP;B2600075700000;12/03/2026;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;51,7;;2026;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;CAVIDEO PRODUÇÕES COMÉRCIO E LOCAÇÃO DE FILMES LTDA;01.666.326/0001-15;RJ;RIO DE JANEIRO
A DANÇA DA BRUXA É NUM ES-PÁSSARO DE TERRA, COM-PASSOS EM CHAMAS DE ÁGUAS DO CÉU;B2600096900000;27/03/2026;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;90,3;;2026;;NENHUMA DAS OPÇÕES;NÃO;NAESSA MARQUES PEREIRA;PESSOA FÍSICA;MG;ARAGUARI
A DANÇA DO UNIVERSO COM MARCELO GLEISER;B2600212000000;01/07/2026;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;80,8;;2026;;SALAS DE EXIBIÇÃO;NÃO;FELISTOQUE CINEMA LTDA.;39.967.359/0001-78;DF;BRASÍLIA
A DESCONHECIDA LENDA DE MACULELÊ: AQUILOMBAMENTOS CULTURAIS TRANSFORMADORES;B2600232500000;17/07/2026;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;103,8;;2026;;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;VIVIANE ROSA JUGUERO MARTINS;07.506.740/0001-43;RS;PORTO ALEGRE
